"UNIVERSIDADE FEDERAL DE SÃO CARLOS ? Campus Sorocaba

BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO

Rodovia João Leme dos Santos, Km 110 (SP-264)

Bairro do Itinga - Sorocaba-SP - CEP 18052-780

Telefone: (15) 3202-2022 / www. ufscar. br.",informe,local;,universidade;federal;
"
Ata da 10ª Reunião Ordinária do Conselho do Curso de Bacharelado em Ciência da Computação, UFSCar ? Sorocaba.

Local, Dia e Hora: No Laboratório de Física, situada nas dependências da Universidade Federal de São Carlos - campus Sorocaba, à Rodovia João Leme dos Santos, quilômetro 110, Bairro do Itinga, na cidade de Sorocaba, Estado de São Paulo e realizada aos cinco dias do mês de abril de dois mil e dez, às 13h00. Convocação e Presença:",informe,local;,reunião;ordinária;conselho;
"
 A convocação foi realizada dois dias antes da data de sua realização, sendo que se celebrou a primeira chamada às 13h00 h, a segunda chamada às 13h15 e a terceira chamada às 13h30, estando presentes após a terceira chamada todos os membros do Conselho do Curso de Bacharelado em Ciência da Computação - Sorocaba, sendo eles os professores Siovani Cintra Felipussi, Yeda Regina Venturini, Katti Faceli, Luciana A. Martinez Zaina, Cândida Nunes da Silva, Marcio K. Oikawa, Murillo Rodrigo P. Homem, Alexandre Álvaro, Tiemi C. Sakata, Fabio Luciano Verdi e José de Oliveira Guimarães. Também presente a Sra. Sonia Vieira Dal Pian, como secretaria desta reunião, o Sr. João Guilherme Junior, representante dos técnicos administrativos, não justificou a ausência, os representantes discentes (turmas 2009 e 2010), João Victor B. Zanatta e Sr. Alessandro Visotto Piccoli não puderam comparecer, pois estavam em aula. Comunicação da Presidência: Não houve.",informe,participantes;,celebrou;presentes;membros;
" Comunicação dos membros: (I) O prof. Murillo informou que na reunião do ConCam foi discutido como seria formada a eleição eleitoral que a mesma terá sete membros, mas ainda ficou pendente a informação se terá um aluno e um docente, e que o Laerte ficou como representante da computação e também que Laerte ficou como representante do CCS.",informe,orientação;,comunicação;reunião;
" (I.I) A profª. Luciana solicitou que as informações das reuniões também sejam repassadas ao vice-coordenador.",solicitação,repasse;,solicitou;repassadas;
" Ordem do Dia: (I) PROJETO POLÍTICO PEDAGÓGICO (I.I) A profª. Yeda coloca que o prazo para entrega do PPP está bastante curto, sendo assim todos os problemas teriam que ser conferidos pela Ofir (Técnica de Assuntos Educacionais) até dia vinte e dois de abril, então a primeira versão terá que estar pronta até a semana que vem, de doze a dezesseis de abril, portanto não será suficiente apenas aprovar as fichas de caracterização, também será necessária outra reunião para acertar as pendências. ",informe,,coloca;prazo;entrega;
"(II) FICHAS DE CARACTERIZAÇÃO. (II.I) A profª. Yeda coloca que nas fichas de caracterização tem um campo referente a exercícios domiciliares e que é necessário discutir com antecedência se irá ou não comportar exercícios domiciliares, para que não tenhamos problemas no futuro, sendo que se as atividades domiciliares necessitarem de computador o correto seria indicar que não comporta exercícios domiciliares. ",explicação,orientação;,coloca;discutir;
" (II.II) As fichas de caracterização são apresentadas a todos. São elas: Algoritmos e Programação II, Empreendedorismo, Projeto e Desenvolvimento de Sistemas, Interface Humano Computador e Multimídia 
Computacional, Laboratório de Compiladores, Tópicos Avançados em Banco de Dados, Aplicações em Tecnologia da Informação para Sustentabilidade, Laboratório de Redes e Sistemas Distribuídos, Processamento de Imagens e Visão Computacional e Inteligência Artificial, esclareceu que a ficha de algoritmos e Programação II foi enviada no ano passado com objetivo e ementa errada, e teremos que conversar com a Ofir para fazer a retificação. Já as disciplinas de Processamento de Imagens e Visão Computacional e Inteligência Artificial foram criadas novas fichas devido à necessidade de inserção de requisitos (Geometria Analítica e Cálculo diferencial e Integral I), na disciplina de Processamentos de imagens e (Estruturas de Dados) na disciplina de Inteligência Artificial. Todas as fichas foram lidas e conferidas, após correções os membros do conselho aprovaram as mesmas.",discução,decisão;,apresentadas;correções;aprovaram;após;
"(III) UNIFICAÇÃO DAS DISCIPLINAS DE MATEMÁTICA (III.I)  A profª. Yeda coloca que participou de uma reunião realizada pela coordenação Acadêmica, na qual expuseram a necessidade de unificar determinadas disciplinas, o que iria facilitar muito, pois os alunos teriam maior diversidade de horários, calculo 1 foi fácil de decidir chegaram a conclusão que será mantido para todos, a disciplina Cálculo A, mas com relação a Cálculo 2 houve divergências, pois Cálculo 2   que é ofertado para computação tem conteúdo de séries e os outros não, portanto provavelmente não será possível aderir a unificação  dessa disciplina. ",informe,solicitação;,expuseram;necessidade;unificar;
" (III.II) O prof. Marcio questiona se nós temos a opção de não concordar coma unificação.",questionamento,pergunta;,questiona;
