#Terms:2667
#Topics:50
cancelamento,1.1799436896665203E-4,2.653994618857829E-4,5.645263665015774E-4,2.4315417192808455E-4,3.8791724444524496E-4,1.5647141470438272E-4,3.0680379796926426E-4,2.546070908741955E-4,1.6888370645437906E-4,3.5133040030674886E-4,1.3323472319459373E-4,2.622926421228014E-4,2.3798253275465064E-4,5.5386278653712275E-5,2.7822704742985906E-4,4.923604252839031E-4,1.432788175075374E-4,4.542252532852812E-4,3.3160865546047886E-4,2.8031105555206755E-4,4.232680950472174E-4,1.4612242914914541E-4,4.1502132407592024E-4,4.6227886798160537E-4,1.3986206229503148E-4,4.2833617304704737E-4,2.9079106637082267E-4,3.3188837444630373E-4,2.468882057675188E-4,8.06177780401485E-5,1.4007441636293858E-4,3.7376178775184635E-4,2.227106688925053E-4,4.924931106911404E-4,5.031401314872912E-4,0.0030205668740689675,3.159769262709439E-4,3.9779894942564454E-4,2.2729913799694794E-4,3.763700529351643E-4,3.487018332763894E-4,1.132399865192953E-4,4.0052260882634784E-4,2.521198533530687E-4,1.4147004163459317E-4,3.636333246806413E-4,4.325882350629795E-4,2.3865011412750126E-4,8.90623021120392E-5,2.477337255348011E-4,
pretende,1.520872165915425E-4,4.184825772621441E-4,4.093997373257617E-4,7.898119511150416E-4,5.830344073123414E-4,2.167902449712599E-4,4.6480775324645124E-4,3.1997234976208845E-4,1.7431411824459203E-4,5.883972722029894E-4,1.6211320849018502E-4,2.0215976799739825E-4,5.867061178468219E-4,4.5462728724429716E-5,4.97096844061455E-4,3.590560935489074E-4,1.4484766430564107E-4,4.5032224607843027E-4,6.956835477019857E-4,4.8163003867170384E-4,2.843955806804968E-4,1.2064891838420222E-4,4.842572536963383E-4,2.9658258553107446E-4,1.380565960866918E-4,3.6340829709625706E-4,2.2594992655844057E-4,4.2820356763282295E-4,3.103264902686866E-4,7.68307982802836E-5,1.3770092786481605E-4,5.396037274178723E-4,1.8228769959351541E-4,4.128444246475848E-4,2.7170314917292486E-4,2.3215353595992458E-4,8.02438727566166E-4,4.2982746507708446E-4,2.0104756331428363E-4,4.812581991137544E-4,3.4320267317059633E-4,1.0548690727044222E-4,3.8157372180256977E-4,1.6862909779646337E-4,1.5004028767911961E-4,4.3348347379299856E-4,6.154773255359674E-4,2.3266166727109548E-4,8.496485597530845E-5,2.8612756305496377E-4,
confeccionado,7.062562904654696E-5,9.891071329677001E-5,9.688392560166488E-5,8.775137963573846E-5,9.571221815268424E-5,7.903313299778771E-5,1.0040214192561494E-4,9.04815046706877E-5,7.138235964577055E-5,1.0026908200801076E-4,8.61612386490051E-5,7.701352977767853E-5,9.718697587489354E-5,3.348982342055379E-5,9.472683741750817E-5,1.0452072501105096E-4,7.231367039093649E-5,9.715258191167924E-5,9.145214057686698E-5,1.0023973604714207E-4,9.058702756451101E-5,6.53472694657939E-5,8.889833801618771E-5,9.525628942757868E-5,8.33626491838478E-5,9.864240613949333E-5,8.701916882379038E-5,9.627154344795088E-5,7.45306930726185E-5,4.814671917221716E-5,6.247405380520783E-5,9.609426521832326E-5,6.285334852551674E-5,9.38812209142811E-5,8.174045750054728E-5,8.40879092752354E-5,9.019720164466412E-5,1.016621978874572E-4,8.495636394715342E-5,9.548712111607274E-5,1.0144299617231735E-4,6.721480407059725E-5,9.611451029289099E-5,8.552027834480091E-5,7.466004557383962E-5,8.818666490898345E-5,9.783312285917785E-5,8.114586259485184E-5,4.796415628275522E-5,8.828559243020701E-5,
avançados,1.0555378249116584E-4,2.921213786678082E-4,3.412777940044382E-4,2.3167364531200587E-4,2.931447408312013E-4,1.5797779876874286E-4,2.0498195713502547E-4,2.439590136847014E-4,1.3006479581861518E-4,2.3462271812527816E-4,1.3355877255623907E-4,1.2119638193150466E-4,2.5513269025042164E-4,4.787981076511062E-5,2.859735037128435E-4,4.255005299022815E-4,1.1008403928311152E-4,2.5475521079715584E-4,1.8545410441307445E-4,2.378768184168219E-4,2.828997520679463E-4,1.0076854805795046E-4,2.159960644051065E-4,2.4805429841071025E-4,1.3943880418455405E-4,2.8418209822815734E-4,1.8314992728508427E-4,2.4039343848088294E-4,1.51192539052827E-4,7.693998779971388E-5,0.008235679144626655,2.6099051642392224E-4,1.0279592660004372E-4,1.9613290357530901E-4,1.698540796813002E-4,1.773879263191855E-4,3.241502322418449E-4,2.2549469223718212E-4,1.4899920709913328E-4,2.9745902440555665E-4,2.3198058124831032E-4,1.4035728804315955E-4,2.0617898530975298E-4,1.427129687488627E-4,1.2597082023466552E-4,1.935060854506162E-4,2.3963985715614715E-4,2.2542963191082445E-4,6.706507597887079E-5,1.579856989906012E-4,
téc,9.900342433316878E-5,1.4199511958931576E-4,1.260735029397142E-4,1.5592366786987773E-4,1.4046253138124955E-4,1.4937382870227798E-4,1.309138388888132E-4,1.3430924812957962E-4,0.007047425186477703,1.3615411970910728E-4,8.44362813406454E-5,1.0018134206214218E-4,1.9312632593930789E-4,4.075850913271848E-5,1.280919439209237E-4,1.923489332552458E-4,1.0148455472482797E-4,1.0581127975052554E-4,1.4039661371893146E-4,1.5902851153026752E-4,1.7011413254042004E-4,1.1735815106256308E-4,1.7806391326430625E-4,1.7183270404674844E-4,1.0647344492542267E-4,1.2690280895211889E-4,1.6468122423773961E-4,1.3633358867868282E-4,1.1291961144737626E-4,6.45646860135837E-5,7.909384593133397E-5,1.1234988366814196E-4,7.934193214932367E-5,1.341526927553957E-4,1.3026573345191472E-4,9.541424229795772E-5,1.5419556289634703E-4,1.5731384205373868E-4,1.0991927870191136E-4,1.621327693644402E-4,1.2568759898094406E-4,6.798854492780819E-5,1.4585251666982416E-4,1.5282278915172443E-4,9.19866793163488E-5,1.08557295083117E-4,1.2271527454210606E-4,1.2509091918499871E-4,5.801859110793237E-5,1.2025530533115528E-4,
ccts,7.142788319568836E-5,1.1386997173299689E-4,1.106740562250127E-4,1.0338329454555599E-4,1.0268708495391303E-4,8.650484644604594E-5,9.816952726987089E-5,1.0208760395309508E-4,1.1846697241287791E-4,1.1160252125777714E-4,8.848161858993563E-5,7.86693656057787E-5,1.1365933265446184E-4,3.302290615475427E-5,1.0240833316561635E-4,1.2621604095089828E-4,9.265041491540915E-5,9.299698532943141E-5,1.0509158330897584E-4,1.163848013030766E-4,1.1362917036883978E-4,6.580778377165949E-5,1.1216476452670082E-4,1.0664902298799085E-4,8.677175427071384E-5,9.914079487376679E-5,9.677421136264451E-5,1.1369858725299476E-4,9.599058320633611E-5,5.398726544825257E-5,7.206866795936435E-5,1.2102878548226503E-4,7.268080317012358E-5,1.033812953531625E-4,1.1529112815733466E-4,7.877586700175342E-5,9.854146013060506E-5,9.676566597389464E-5,9.722753521949482E-5,1.094392757474371E-4,1.0932592893978587E-4,6.011055094504635E-5,1.1997686186184908E-4,8.71229112000535E-5,8.02566399707861E-5,1.2477503807243242E-4,1.0448150883396588E-4,8.837073815531042E-5,6.035746313612982E-5,8.40048166481842E-5,
coerência,5.603559299380759E-5,8.334642756664685E-5,7.833698170056772E-5,8.375067563241062E-5,9.483457452369605E-5,6.740612544410082E-5,7.311342201446224E-5,7.906466012169518E-5,7.299121305719892E-5,8.525551837317153E-5,7.243593495128735E-5,6.821235214601222E-5,8.426623226775921E-5,3.3278541539845724E-5,8.283676633012368E-5,8.305467003219881E-5,6.251161035917814E-5,8.124314347555835E-5,7.862496737267297E-5,8.127480305551916E-5,8.32349380964694E-5,5.8250369404804854E-5,8.561015416242394E-5,8.927167489164277E-5,6.829380546451275E-5,8.497903125346259E-5,7.381907207230714E-5,8.746996191679729E-5,6.727376767196142E-5,4.800434327349112E-5,6.107778977666671E-5,8.45449805036338E-5,6.17822053121143E-5,8.547813197992758E-5,8.52295787725277E-5,6.711957360749999E-5,7.970081746593194E-5,8.486571830679521E-5,7.029258454587786E-5,7.655724564464718E-5,8.468279562239578E-5,5.2136018866566726E-5,7.863853555795142E-5,7.547508264792962E-5,6.017784655370649E-5,7.220573079474222E-5,8.438424167844926E-5,8.393003953643522E-5,4.7155086122749664E-5,7.227091879751283E-5,
competência,8.942453770144903E-5,1.2597603126736508E-4,1.5842390652666744E-4,1.2661803687112085E-4,1.574522205939086E-4,8.429865035756324E-5,1.4547587149393593E-4,1.2559073635924698E-4,9.708052085188746E-5,1.4110985942933214E-4,9.357939469306558E-5,8.455994245108942E-5,1.372673553196073E-4,3.795581856789186E-5,1.4334967227580994E-4,1.3429129405732664E-4,8.937470439730134E-5,1.2056008711493435E-4,1.3143055556231E-4,1.285383951890675E-4,1.3459007766059738E-4,7.848960127540462E-5,1.2288064380912986E-4,1.2679032350934176E-4,9.994272260945861E-5,1.2502398960307092E-4,9.38944291933534E-5,1.2300226849208242E-4,1.0503810982041774E-4,6.795477846243628E-5,7.790723954869322E-5,1.3786719128955075E-4,9.579405196564027E-5,1.607371536624805E-4,1.5282415785011893E-4,1.1503186175464643E-4,1.337484215047305E-4,1.305710390521162E-4,8.12615968912689E-5,1.2370289489938545E-4,1.7221271698943967E-4,6.760410397153154E-5,1.2736215885213935E-4,1.185062769202009E-4,1.0350109617760185E-4,2.0038807089222164E-4,1.5074479203100702E-4,1.2619554962336264E-4,6.225110231833974E-5,1.119396481008181E-4,
tel,7.206939950255433E-5,9.383367328437635E-5,9.921198169346095E-5,8.027230719933718E-5,8.037351023117091E-5,7.395815483955058E-5,8.794524417571446E-5,1.0194591467267049E-4,8.636100632244046E-5,8.874692244701213E-5,6.889280347916889E-5,0.008099045809802894,8.945535750481158E-5,4.221062012447174E-5,8.796492362848842E-5,9.325769909874498E-5,7.195643860511569E-5,8.969843854611081E-5,8.590197329314683E-5,8.14883194716587E-5,1.1409563605664771E-4,6.823621033887386E-5,9.83299595318832E-5,1.073171353297441E-4,8.793738327175238E-5,8.467104567646415E-5,8.33638287384053E-5,9.617996869428471E-5,7.20783517491106E-5,5.077403917957686E-5,7.120537477069196E-5,7.747029245182095E-5,8.027201832869217E-5,8.88234020796826E-5,8.507400493441676E-5,7.477543128024909E-5,8.538966714979483E-5,8.910405792901204E-5,8.207145676959632E-5,9.640763109212998E-5,8.947025042524864E-5,6.12406681597966E-5,9.677271406833712E-5,8.382191117755608E-5,8.357381465639369E-5,7.871838694829719E-5,8.373569459319778E-5,1.0384231472066267E-4,5.609915932357046E-5,7.94556130067182E-5,
incluísse,1.0166829050423838E-4,3.436241988895763E-4,4.020115245827161E-4,4.611279311998679E-4,3.5693640015799184E-4,1.6070389627002908E-4,3.80472346550549E-4,2.5224559544199276E-4,2.1932302382044724E-4,4.181496601073312E-4,2.0615304510117403E-4,1.2121245780687751E-4,2.9701347593937845E-4,4.079774094827151E-5,3.7947085946171596E-4,3.103662877574014E-4,1.1457990096296083E-4,2.8272871439148254E-4,3.457483061939272E-4,2.502122527896672E-4,3.206789036401034E-4,1.3117806653517401E-4,5.216577226797927E-4,3.671578177807823E-4,1.6603143589097574E-4,1.9398170087568886E-4,2.3683552562544792E-4,3.607837931167287E-4,2.4525682383543863E-4,7.750103560938284E-5,1.2839498739067635E-4,3.4628779254673655E-4,0.0136436774176155,3.474382935090106E-4,3.764445004402486E-4,3.3111809377283806E-4,3.1818700640657996E-4,3.407703491450105E-4,1.8711012067889728E-4,3.014877069917308E-4,3.747363317513458E-4,1.0043596022589329E-4,3.954467388377017E-4,2.314324341954941E-4,1.1807921670507608E-4,1.947256793768631E-4,3.7464756175309834E-4,2.6966948811436235E-4,8.178335027040213E-5,1.2947023077053782E-4,
